origin,destination,departure_date,flight_route_number,customer
MDW,OAK,5/26/2016,598,12
SAN,TUS,5/10/2016,43,13
DAL,MKE,5/1/2016,78,13
MKE,MCO,5/26/2016,131,13
FLL,PIT,5/4/2016,402,13
DTW,DEN,5/29/2016,348,13
OAK,BUR,5/24/2016,468,14
MDW,CUN,5/28/2016,233,14
MCI,MDW,5/5/2016,208,14
MCO,PIT,5/8/2016,65,14
BOS,AUS,5/13/2016,463,14
ATL,RSW,5/17/2016,265,14
SMF,SAN,5/6/2016,610,15
PIT,LAS,5/8/2016,459,15
DAL,MCO,5/25/2016,597,15
SLC,LAX,5/21/2016,283,15
MCI,ATL,5/23/2016,487,15
BUF,MDW,5/3/2016,294,15
MDW,ATL,5/7/2016,344,15
DAL,MCI,5/8/2016,43,15
BWI,MCO,5/28/2016,322,15
PDX,DEN,5/4/2016,273,15
DEN,SAN,5/12/2016,559,15
MSY,MDW,5/17/2016,199,15
DAL,OMA,5/19/2016,330,15
MCO,MSY,5/25/2016,227,16
MDW,PHX,5/17/2016,531,16
MCO,MKE,5/27/2016,175,16
BWI,SEA,5/3/2016,306,16
DEN,STL,5/10/2016,578,16
STL,BWI,5/23/2016,295,16
LAX,LAS,5/23/2016,358,16
SDF,TPA,5/30/2016,638,16
BWI,MKE,5/26/2016,66,16
OMA,DEN,5/29/2016,90,16
TPA,MCI,5/31/2016,358,16
SMF,LAX,5/25/2016,326,16
SEA,DEN,5/20/2016,640,16
IND,MCI,5/25/2016,498,16
MDW,ALB,5/12/2016,623,17
DEN,SLC,5/27/2016,616,17
MSP,PHX,5/21/2016,83,17
HOU,OKC,5/15/2016,61,17
DEN,IAD,5/22/2016,534,17
DAL,SNA,5/4/2016,105,17
OAK,PHX,5/17/2016,100,17
IND,MCO,5/7/2016,432,17
LAX,LAS,5/3/2016,251,17
PHX,BWI,5/6/2016,620,17
ALB,MCO,5/1/2016,161,17
LAS,LAX,5/8/2016,446,17
MSP,DEN,5/14/2016,431,17
LAS,OAK,5/3/2016,61,17
MCO,DEN,5/22/2016,549,17
MDW,LAX,5/9/2016,168,18
LAX,SJC,5/10/2016,297,18
MCO,DEN,5/12/2016,224,19
OMA,STL,5/23/2016,201,19
DAL,DEN,5/24/2016,301,19
OAK,SAN,5/26/2016,258,19
SLC,DEN,5/12/2016,11,19
MCI,STL,5/8/2016,279,20
SAN,DEN,5/25/2016,644,20
MCI,LAX,5/31/2016,208,20
PHX,OAK,5/2/2016,93,20
LAX,MCI,5/30/2016,289,20
MCO,SDF,5/23/2016,245,20
SJC,BUR,5/19/2016,329,20
IND,MCO,5/1/2016,87,20
LAX,DEN,5/26/2016,510,20
RSW,BWI,5/28/2016,240,20
PWM,BWI,5/31/2016,304,20
DAL,AUS,5/7/2016,8,20
MDW,TPA,5/23/2016,554,21
DEN,MSP,5/4/2016,277,21
ABQ,HOU,5/14/2016,24,21
BUR,OAK,5/26/2016,343,21
FLL,STL,5/28/2016,126,22
CLE,BWI,5/23/2016,26,22
DCA,AUS,5/19/2016,638,22
MDW,MCO,5/7/2016,381,22
MDW,PHX,5/23/2016,238,22
DAL,SNA,5/21/2016,242,22
MEM,TPA,5/24/2016,319,22
OAK,BUR,5/7/2016,195,22
DEN,LAX,5/22/2016,287,22
TPA,MKE,5/18/2016,85,22
BWI,MHT,5/23/2016,405,22
MCO,DEN,5/1/2016,519,22
MDW,DEN,5/2/2016,494,22
STL,MDW,5/17/2016,563,22
SJC,ONT,5/31/2016,644,24
BUR,OAK,5/10/2016,344,24
PVD,BWI,5/17/2016,553,24
SLC,LAS,5/16/2016,537,24
DTW,BNA,5/9/2016,213,24
ABQ,LAS,5/24/2016,351,24
OAK,SEA,5/16/2016,440,24
MDW,OMA,5/14/2016,204,24
SAN,DAL,5/9/2016,635,24
AUS,HRL,5/13/2016,85,24
PHX,LAS,5/25/2016,75,24
BWI,SEA,5/31/2016,305,24
ABQ,DEN,5/5/2016,375,24
OAK,DEN,5/16/2016,511,24
SAN,SMF,5/29/2016,617,24
MAF,HOU,5/3/2016,470,26
LAS,SAT,5/18/2016,454,26
HOU,CRP,5/16/2016,21,26
DEN,PHL,5/5/2016,494,26
PHX,TPA,5/30/2016,194,27
HOU,BZE,5/7/2016,167,27
BWI,CLE,5/27/2016,34,28
DAL,AMA,5/24/2016,175,28
RDU,BNA,5/27/2016,133,28
MDW,MEM,5/25/2016,412,28
PHX,SLC,5/26/2016,382,28
RDU,TPA,5/7/2016,20,28
LAS,SJC,5/22/2016,169,28
BWI,CLT,5/28/2016,89,28
MCI,MCO,5/6/2016,70,28
SAN,TUS,5/23/2016,343,28
BWI,RDU,5/23/2016,482,29
MSY,BWI,5/1/2016,553,29
AUS,MDW,5/11/2016,582,29
PHX,SFO,5/2/2016,626,30
LAS,LAX,5/8/2016,151,30
DAL,SAT,5/23/2016,252,30
ATL,CUN,5/6/2016,322,30
SMF,BUR,5/10/2016,271,30
MHT,BWI,5/18/2016,425,30
RDU,DEN,5/14/2016,161,30
PVD,MCO,5/23/2016,227,30
PHX,SEA,5/8/2016,257,30
BUR,OAK,5/9/2016,512,30
TPA,IND,5/25/2016,138,30
ATL,MKE,5/4/2016,340,30
SNA,SJC,5/19/2016,282,30
BWI,ISP,5/12/2016,408,30
OAK,PDX,5/26/2016,310,30
SLC,OAK,5/13/2016,202,30
MDW,MSP,5/27/2016,530,30
EWR,AUS,5/17/2016,378,30
LAX,MDW,5/24/2016,551,31
SAN,SJC,5/4/2016,94,31
BWI,PVD,5/27/2016,123,31
AMA,LAS,5/29/2016,280,31
AUS,EWR,5/30/2016,327,31
JAX,HOU,5/6/2016,48,31
HOU,HRL,5/13/2016,7,31
LAS,GEG,5/24/2016,31,31
MSP,BWI,5/28/2016,327,32
LGA,DAL,5/20/2016,381,32
FLL,DAL,5/28/2016,535,32
STL,DTW,5/4/2016,441,33
SEA,STL,5/11/2016,103,33
HOU,BNA,5/1/2016,54,33
BWI,MSP,5/18/2016,429,33
AUS,LAS,5/4/2016,324,33
SAT,LAS,5/27/2016,376,33
DAL,SAT,5/25/2016,4,33
ATL,CMH,5/9/2016,13,33
HOU,BOS,5/5/2016,305,33
SAN,OAK,5/25/2016,177,33
STL,EWR,5/19/2016,300,33
DAL,BWI,5/28/2016,150,34
BWI,PBI,5/4/2016,264,34
ISP,BWI,5/11/2016,482,34
MDW,PHX,5/25/2016,582,34
DEN,IAD,5/31/2016,530,34
HOU,ATL,5/1/2016,53,34
SMF,SAN,5/29/2016,584,34
MCI,OAK,5/1/2016,145,34
LAS,RNO,5/11/2016,534,35
LAX,SJC,5/18/2016,185,35
DEN,LAX,5/24/2016,153,35
STL,TPA,5/15/2016,293,36
PHX,ELP,5/20/2016,280,36
DCA,MDW,5/2/2016,330,36
HOU,ABQ,5/17/2016,14,36
EWR,STL,5/4/2016,436,36
BUR,SFO,5/25/2016,417,36
SAN,SJC,5/8/2016,413,36
DAL,SFO,5/6/2016,503,36
TPA,PIT,5/23/2016,460,36
MDW,MCO,5/9/2016,571,36
SMF,SAN,5/31/2016,258,36
MDW,MCO,5/17/2016,445,36
SMF,SAN,5/1/2016,575,36
CHS,MDW,5/5/2016,346,37
EWR,MCO,5/14/2016,133,37
DCA,ATL,5/12/2016,305,37
LAX,DAL,5/28/2016,560,37
STL,LAS,5/26/2016,414,37
SAT,DAL,5/27/2016,44,37
TPA,LAS,5/13/2016,541,37
ATL,TPA,5/6/2016,118,37
MDW,CLT,5/9/2016,373,37
FLL,BWI,5/31/2016,166,37
MSY,FLL,5/23/2016,183,38
SFO,SAN,5/27/2016,17,38
DEN,SJC,5/11/2016,235,38
RNO,LAS,5/30/2016,484,38
HOU,DAL,5/14/2016,2,38
SAN,DEN,5/6/2016,388,38
MSY,HOU,5/3/2016,305,38
BWI,ISP,5/14/2016,440,38
AUS,DEN,5/10/2016,12,38
DCA,HOU,5/11/2016,331,38
LAS,BOI,5/4/2016,24,38
MDW,ALB,5/21/2016,305,38
PHX,SMF,5/6/2016,159,40
FLL,ATL,5/23/2016,134,40
ATL,DCA,5/23/2016,361,41
DAL,SAT,5/8/2016,236,42
MKE,LGA,5/31/2016,287,42
ONT,SMF,5/29/2016,439,42
SAT,STL,5/23/2016,24,42
DEN,SJC,5/29/2016,605,42
JAX,MDW,5/30/2016,310,42
PHX,OAK,5/10/2016,185,42
OKC,LAS,5/3/2016,48,42
PDX,DEN,5/8/2016,420,42
ABQ,LAS,5/9/2016,61,42
LAS,BUR,5/4/2016,488,43
BUR,OAK,5/2/2016,309,43
PHX,RNO,5/24/2016,448,43
TUS,LAS,5/16/2016,367,43
LAS,PHL,5/6/2016,606,43
CMH,STL,5/27/2016,237,43
MCO,MDW,5/9/2016,303,43
LAX,SJC,5/20/2016,296,43
STL,DAL,5/4/2016,65,43
LAX,OAK,5/21/2016,484,43
SAN,SFO,5/23/2016,18,43
LAX,DEN,5/31/2016,63,44
MCO,CMH,5/11/2016,15,44
SJO,BWI,5/16/2016,477,44
DEN,LAS,5/1/2016,91,44
SAN,ABQ,5/18/2016,375,44
CAK,ATL,5/31/2016,41,44
AUS,HOU,5/6/2016,315,44
ATL,IND,5/6/2016,628,44
TPA,DCA,5/13/2016,268,44
SNA,DAL,5/24/2016,524,44
ELP,LAS,5/31/2016,374,44
PHX,ELP,5/10/2016,476,45
DAL,LAX,5/15/2016,337,45
AUS,LAX,5/20/2016,318,47
STL,MDW,5/9/2016,564,47
OAK,SNA,5/22/2016,535,48
OAK,ONT,5/30/2016,385,48
DAL,MEM,5/24/2016,256,48
ATL,PIT,5/7/2016,154,48
CHS,BNA,5/5/2016,52,48
ATL,PHL,5/20/2016,221,48
CRP,HOU,5/14/2016,359,48
DEN,BOS,5/24/2016,154,48
PHX,MSP,5/26/2016,342,48
MDW,DAY,5/20/2016,140,48
BDL,MCO,5/11/2016,602,48
SAN,SFO,5/7/2016,21,48
PHX,SNA,5/18/2016,281,48
RIC,ATL,5/10/2016,479,48
TPA,BWI,5/20/2016,62,49
LAS,LAX,5/4/2016,617,49
BWI,ATL,5/26/2016,26,49
SLC,LAS,5/5/2016,440,49
LAS,OKC,5/28/2016,599,49
MBJ,MDW,5/28/2016,226,49
SJU,MCO,5/6/2016,210,49
LAS,SNA,5/24/2016,400,49
OAK,PHX,5/27/2016,633,49
OAK,SAN,5/1/2016,413,49
BUF,MCO,5/10/2016,608,49
LAX,PHX,5/17/2016,199,49
ONT,SMF,5/18/2016,523,49
MDW,BWI,5/16/2016,342,49
MDW,PIT,5/8/2016,642,49
PHX,ABQ,5/14/2016,271,49
TPA,BNA,5/7/2016,299,49
ATL,MDW,5/8/2016,556,50
PHX,HOU,5/16/2016,386,50
PHX,SEA,5/17/2016,389,50
ATL,SAT,5/26/2016,145,50
BUR,OAK,5/19/2016,511,50
HOU,MBJ,5/2/2016,205,50
ATL,IAD,5/9/2016,220,50
MDW,BHM,5/24/2016,472,51
DTW,DEN,5/19/2016,10,52
PHX,SMF,5/10/2016,436,52
MDW,BNA,5/26/2016,368,53
FLL,ATL,5/11/2016,115,53
SNA,DEN,5/13/2016,106,53
BDL,MCO,5/30/2016,601,53
FLL,BWI,5/8/2016,34,53
LAX,PDX,5/28/2016,474,53
MDW,FLL,5/23/2016,399,53
HOU,ATL,5/13/2016,316,55
MCO,BWI,5/5/2016,66,55
IND,LGA,5/8/2016,119,55
DEN,SAN,5/23/2016,558,55
PVD,BWI,5/4/2016,552,55
SFO,SNA,5/1/2016,480,55
BNA,TPA,5/8/2016,340,55
MDW,SAT,5/11/2016,456,56
MDW,OKC,5/23/2016,233,58
DEN,MSP,5/4/2016,83,58
MCO,STL,5/19/2016,63,58
MCO,DEN,5/7/2016,65,58
HOU,MCI,5/6/2016,206,60
PDX,OAK,5/3/2016,67,60
BWI,MCO,5/2/2016,563,60
STL,DEN,5/27/2016,446,60
IND,LGA,5/30/2016,405,60
SAT,MDW,5/13/2016,145,60
HOU,CRP,5/9/2016,392,60
ATL,BWI,5/2/2016,486,60
SJC,BUR,5/25/2016,329,61
MCO,RDU,5/20/2016,53,61
SMF,SAN,5/6/2016,151,61
MCI,DCA,5/29/2016,305,62
LAX,PHX,5/10/2016,575,62
DAL,LBB,5/13/2016,4,62
LAS,SFO,5/13/2016,289,62
NAS,BWI,5/6/2016,395,62
MDW,LGA,5/20/2016,496,62
ATL,RIC,5/26/2016,319,62
LAS,SAN,5/29/2016,525,62
MSP,PHX,5/1/2016,239,62
STL,ATL,5/23/2016,267,62
PVD,FLL,5/24/2016,467,62
MCI,OAK,5/5/2016,417,64
LAS,SNA,5/23/2016,339,64
RSW,STL,5/7/2016,303,64
OKC,DEN,5/9/2016,441,64
MDW,BDL,5/14/2016,557,64
SNA,DEN,5/26/2016,142,64
STL,AUS,5/5/2016,288,67
HOU,CUN,5/11/2016,234,67
MCI,MDW,5/22/2016,428,67
OAK,BNA,5/21/2016,386,67
BNA,CHS,5/20/2016,387,67
DAL,DTW,5/4/2016,473,67
IND,PHX,5/21/2016,211,67
LAX,MDW,5/19/2016,561,67
SJC,PHX,5/31/2016,150,67
SFO,LAX,5/30/2016,31,67
MCI,DEN,5/28/2016,55,67
DEN,LAX,5/30/2016,48,67
STL,BWI,5/18/2016,121,67
LAX,RNO,5/16/2016,134,69
BUR,SMF,5/3/2016,179,69
SFO,MDW,5/16/2016,112,69
MSP,MDW,5/31/2016,159,69
BUF,MDW,5/22/2016,603,69
PHX,DEN,5/11/2016,634,69
LAS,BUR,5/13/2016,291,69
LAS,PHX,5/31/2016,387,69
DCA,TPA,5/31/2016,467,69
MDW,MCO,5/8/2016,237,69
SAT,DAL,5/5/2016,4,69
RDU,MCO,5/26/2016,413,69
JAX,MDW,5/29/2016,243,69
DEN,MDW,5/31/2016,302,69
ALB,LAS,5/23/2016,146,70
LAX,ABQ,5/25/2016,370,70
BUR,OAK,5/21/2016,384,70
SAT,STL,5/15/2016,21,70
LAS,MDW,5/12/2016,617,70
SLC,DEN,5/27/2016,502,70
DEN,LAX,5/4/2016,200,70
LAX,ABQ,5/8/2016,204,70
MCO,SJU,5/16/2016,374,70
LAX,PHX,5/14/2016,463,70
HOU,LAX,5/1/2016,292,70
DEN,SLC,5/18/2016,398,70
MDW,MSP,5/24/2016,243,70
FLL,TPA,5/3/2016,541,70
PHL,MDW,5/22/2016,585,70
BWI,ORF,5/18/2016,323,70
RSW,BWI,5/26/2016,634,70
PHX,SNA,5/30/2016,480,70
MDW,DCA,5/20/2016,503,71
TPA,PHX,5/7/2016,645,71
ATL,BWI,5/4/2016,495,71
BOS,MDW,5/26/2016,136,71
DEN,BUR,5/11/2016,477,71
CLE,BNA,5/16/2016,34,71
MSY,AUS,5/30/2016,440,71
OAK,SAN,5/29/2016,380,71
DAL,ATL,5/19/2016,51,71
DEN,MCO,5/3/2016,590,72
PHX,SLC,5/29/2016,459,72
BDL,BWI,5/9/2016,264,72
PHX,AUS,5/30/2016,523,72
SLC,LAS,5/22/2016,246,72
ATL,MCI,5/11/2016,113,72
LAX,PHX,5/25/2016,74,72
LAS,ABQ,5/12/2016,43,72
OAK,SAN,5/26/2016,516,74
IND,MCO,5/1/2016,87,74
BWI,FLL,5/18/2016,15,74
DAL,DTW,5/28/2016,292,75
MDW,TUS,5/30/2016,231,75
SAN,DEN,5/22/2016,127,75
IND,DAL,5/6/2016,107,75
PDX,SMF,5/17/2016,457,75
FLL,ALB,5/3/2016,462,75
SNA,HOU,5/3/2016,154,75
SAT,PHX,5/26/2016,31,75
CMH,MCO,5/15/2016,355,75
SJC,LAX,5/10/2016,63,75
STL,MDW,5/17/2016,563,76
LAS,DEN,5/28/2016,192,76
AUS,ATL,5/7/2016,9,76
SMF,SAN,5/10/2016,357,76
SFO,PHX,5/28/2016,290,76
JAX,ATL,5/16/2016,403,76
MDW,PHX,5/4/2016,601,76
LAX,AUS,5/16/2016,57,76
AUS,BWI,5/20/2016,323,76
MDW,DAL,5/4/2016,503,76
LAS,ICT,5/24/2016,229,76
DAL,ABQ,5/4/2016,309,76
LAS,RNO,5/13/2016,524,76
LAS,MDW,5/16/2016,146,76
ATL,LGA,5/10/2016,107,76
MDW,AUS,5/10/2016,267,76
MDW,PHX,5/13/2016,245,76
BWI,ALB,5/22/2016,499,76
BUF,FLL,5/21/2016,566,76
SJU,TPA,5/5/2016,334,76
MDW,MCO,5/4/2016,569,76
PHX,DAL,5/20/2016,139,76
MSP,PHX,5/26/2016,475,76
LAS,SAN,5/16/2016,341,76
DAL,IND,5/11/2016,19,76
DEN,SEA,5/18/2016,502,78
MDW,SDF,5/12/2016,402,78
MCO,BUF,5/14/2016,46,78
MDW,CUN,5/9/2016,357,78
DAL,LBB,5/4/2016,41,78
ELP,PHX,5/11/2016,14,78
MDW,LGA,5/23/2016,497,78
BWI,SJD,5/14/2016,120,78
SJU,MCO,5/23/2016,248,79
CRP,HOU,5/11/2016,359,79
MBJ,HOU,5/8/2016,141,80
MCI,ATL,5/25/2016,60,80
PVR,HOU,5/2/2016,419,80
IND,MCI,5/15/2016,498,81
SJD,DEN,5/5/2016,247,81
STL,EWR,5/18/2016,436,81
LAX,SFO,5/21/2016,33,81
BOS,BWI,5/16/2016,562,81
BNA,FLL,5/8/2016,538,81
MDW,STL,5/8/2016,641,81
MSP,DEN,5/23/2016,426,81
SLC,DEN,5/10/2016,47,81
BUR,OAK,5/20/2016,203,81
PDX,OAK,5/26/2016,310,81
MSY,DAL,5/24/2016,69,82
DEN,LAS,5/20/2016,159,82
BWI,PWM,5/10/2016,463,82
SMF,PHX,5/21/2016,117,82
AUS,BNA,5/7/2016,94,82
JAX,ATL,5/12/2016,406,85
BUF,BWI,5/12/2016,606,85
FLL,BWI,5/29/2016,94,85
DCA,MDW,5/30/2016,188,85
DEN,MSP,5/22/2016,216,85
BWI,PWM,5/7/2016,148,85
PHX,SAN,5/3/2016,472,85
PVR,HOU,5/10/2016,421,85
AUS,BOS,5/10/2016,408,85
IND,LAS,5/27/2016,364,85
DEN,PHL,5/5/2016,494,85
IND,PHX,5/11/2016,585,85
CLE,MDW,5/7/2016,381,86
DCA,MKE,5/18/2016,369,86
LAX,ATL,5/8/2016,175,86
BOS,AUS,5/30/2016,469,86
RSW,ATL,5/31/2016,97,86
BWI,MDW,5/6/2016,466,86
BNA,DEN,5/9/2016,589,86
FLL,AUS,5/19/2016,120,86
OKC,DAL,5/27/2016,5,86
SFO,DAL,5/29/2016,642,86
DEN,MSP,5/31/2016,16,86
BNA,OAK,5/7/2016,470,86
BWI,MCO,5/22/2016,120,86
MKE,LAS,5/12/2016,158,86
SAN,SJC,5/20/2016,428,86
MCO,MSY,5/4/2016,383,86
PIT,MCO,5/15/2016,187,88
SMF,BUR,5/14/2016,288,88
DEN,SFO,5/16/2016,106,89
BWI,BOS,5/9/2016,352,89
SAT,ELP,5/22/2016,405,89
BNA,PHL,5/30/2016,609,89
DAL,MCO,5/28/2016,130,89
ISP,MCO,5/7/2016,162,90
OAK,ONT,5/23/2016,403,90
SEA,OAK,5/4/2016,176,91
BWI,TPA,5/5/2016,401,91
BWI,CMH,5/4/2016,425,91
BWI,CMH,5/11/2016,64,91
PIT,TPA,5/22/2016,461,92
PHX,SLC,5/3/2016,243,92
PHX,MDW,5/10/2016,116,92
LAS,TUS,5/16/2016,533,92
SFO,PHX,5/3/2016,508,92
DCA,MCO,5/12/2016,228,93
DEN,BOI,5/9/2016,226,93
AUS,PHX,5/13/2016,600,93
LAX,SJC,5/6/2016,58,93
DEN,PHX,5/22/2016,620,93
DAL,OKC,5/11/2016,5,93
MDW,SJC,5/26/2016,560,93
BOS,ATL,5/1/2016,347,93
RDU,TPA,5/29/2016,474,93
CUN,MDW,5/6/2016,238,93
DAL,PHX,5/13/2016,635,93
ECP,HOU,5/14/2016,45,94
LAS,PIT,5/3/2016,474,94
MCO,BUF,5/19/2016,567,95
MDW,PHL,5/8/2016,223,95
SAN,LAS,5/16/2016,491,95
PIT,DAL,5/7/2016,59,95
PHX,CLE,5/14/2016,548,95
ISP,BWI,5/23/2016,164,95
BOS,AUS,5/4/2016,460,95
LAS,HOU,5/30/2016,177,95
BUR,SJC,5/14/2016,192,95
TUS,LAX,5/8/2016,191,95
LAS,RNO,5/27/2016,533,95
DEN,HOU,5/4/2016,547,95
RNO,LAS,5/30/2016,153,95
SMF,PDX,5/14/2016,30,95
BWI,BOS,5/12/2016,459,95
SAN,LAS,5/7/2016,269,95
BWI,BDL,5/22/2016,135,95
MCI,PHX,5/2/2016,358,95
LAS,DEN,5/17/2016,16,95
ATL,SAT,5/24/2016,145,95
BDL,BWI,5/22/2016,114,95
MCO,AUA,5/10/2016,495,95
AUS,FLL,5/2/2016,80,95
EWR,MDW,5/15/2016,386,96
BNA,DCA,5/15/2016,148,96
OKC,STL,5/16/2016,82,96
MCO,IND,5/24/2016,128,96
DEN,PDX,5/23/2016,564,96
PHL,DEN,5/2/2016,266,96
MKE,SEA,5/26/2016,345,96
MCO,BWI,5/28/2016,63,97
LAS,OAK,5/17/2016,31,98
HRL,AUS,5/15/2016,52,98
SJC,BUR,5/28/2016,335,98
PHL,STL,5/13/2016,286,98
JAX,BWI,5/24/2016,467,98
ATL,HOU,5/5/2016,97,98
ATL,IAD,5/10/2016,221,98
BNA,AUS,5/9/2016,434,99
MDW,HOU,5/18/2016,217,99
DEN,PHX,5/22/2016,57,99
FLL,BWI,5/5/2016,56,99
DEN,OKC,5/25/2016,465,99
OAK,BUR,5/13/2016,386,99
LAX,PHX,5/9/2016,74,99
HOU,PHX,5/23/2016,177,101
MKE,BOS,5/28/2016,402,101
HOU,MSY,5/16/2016,250,101
DTW,BWI,5/12/2016,35,101
LGA,HOU,5/26/2016,173,102
SMF,PDX,5/4/2016,58,102
DEN,IND,5/23/2016,39,102
LGA,HOU,5/9/2016,147,102
FLL,ATL,5/27/2016,64,102
EWR,STL,5/3/2016,436,102
LGA,MDW,5/29/2016,468,102
RDU,BWI,5/24/2016,372,102
ATL,FLL,5/9/2016,514,102
LAX,SFO,5/2/2016,33,102
LAX,PHX,5/31/2016,314,103
SLC,DEN,5/17/2016,502,103
DCA,MDW,5/13/2016,368,103
ATL,GSP,5/13/2016,156,103
OAK,PDX,5/10/2016,311,103
ISP,BWI,5/10/2016,408,103
TPA,FLL,5/12/2016,450,103
DEN,BUR,5/9/2016,405,104
DAL,LAS,5/18/2016,604,105
MDW,BNA,5/1/2016,234,105
SAN,OAK,5/2/2016,11,105
LAS,SAN,5/11/2016,345,105
MDW,SAN,5/26/2016,235,105
PDX,SMF,5/29/2016,320,105
LBB,DAL,5/8/2016,409,105
BWI,FLL,5/14/2016,554,105
DAL,ATL,5/12/2016,156,105
BWI,BDL,5/20/2016,398,106
MDW,STL,5/30/2016,512,106
HOU,AUS,5/8/2016,89,106
SAN,DEN,5/14/2016,646,107
ONT,LAS,5/23/2016,624,107
TUS,LAX,5/2/2016,534,107
LAS,BUR,5/6/2016,326,107
ATL,FLL,5/21/2016,356,107
BNA,MDW,5/27/2016,416,107
PHX,MSP,5/12/2016,446,108
HOU,DAL,5/11/2016,315,108
PHX,ELP,5/6/2016,309,108
BNA,ECP,5/4/2016,240,110
LGA,MDW,5/4/2016,360,110
MDW,DEN,5/22/2016,605,110
SJD,DEN,5/28/2016,181,110
PHX,TPA,5/7/2016,276,111
LBB,AUS,5/11/2016,408,111
HOU,ATL,5/20/2016,41,111
MKE,SEA,5/25/2016,345,111
FLL,PHX,5/6/2016,221,111
SJC,PHX,5/26/2016,645,112
MDW,MSY,5/21/2016,469,112
ATL,OKC,5/9/2016,479,112
BDL,MCO,5/2/2016,600,112
DSM,LAS,5/9/2016,63,112
DAL,MDW,5/23/2016,646,112
CLE,MDW,5/30/2016,343,112
ATL,MSY,5/4/2016,345,112
FLL,STL,5/12/2016,327,112
SEA,SNA,5/15/2016,246,112
OAK,BWI,5/12/2016,598,112
SJD,HOU,5/8/2016,216,112
MSP,ATL,5/20/2016,28,112
SJC,PDX,5/11/2016,196,112
AUS,DAL,5/23/2016,4,112
DAL,HOU,5/18/2016,177,112
SAN,TUS,5/25/2016,343,112
SFO,SAN,5/17/2016,33,112
ATL,MSP,5/24/2016,83,112
PUJ,MDW,5/28/2016,419,113
SNA,SJC,5/6/2016,136,113
SJU,MCO,5/3/2016,518,113
MCO,ISP,5/27/2016,481,113
MSY,STL,5/15/2016,465,113
STL,MCO,5/17/2016,268,113
RSW,STL,5/6/2016,109,113
BNA,LAX,5/4/2016,113,113
LAX,LAS,5/8/2016,293,113
OAK,BUR,5/27/2016,468,113
MCO,ALB,5/18/2016,578,113
OAK,SAN,5/28/2016,57,113
HOU,DCA,5/15/2016,324,113
CHS,HOU,5/1/2016,447,113
SNA,OAK,5/3/2016,189,113
LAS,ABQ,5/30/2016,555,113
RSW,BWI,5/4/2016,215,113
SAT,MSY,5/1/2016,497,113
SAN,PHX,5/16/2016,487,113
ONT,OAK,5/25/2016,382,113
ELP,SAT,5/4/2016,376,113
OMA,DEN,5/11/2016,304,114
RNO,MDW,5/13/2016,456,114
MSY,DAL,5/10/2016,445,114
ATL,DCA,5/17/2016,361,114
